"offence.type","year","number.of.crimes"
"Abduction and kidnapping","2014",288
"Against justice procedures","2014",53771
"Arson","2014",5635
"Assault","2014",63482
"Betting and gaming offences","2014",115
"Blackmail and extortion","2014",106
"Disorderly conduct","2014",21737
"Drug offences","2014",41484
"Homicide","2014",124
"Intimidation, stalking and harassment","2014",29713
"Liquor offences","2014",13250
"Malicious damage to property","2014",68200
"Other offences","2014",15427
"Other offences against the person","2014",1292
"Pornography offences","2014",520
"Prohibited and regulated weapons offences","2014",11844
"Prostitution offences","2014",259
"Robbery","2014",3434
"Sexual offences","2014",11592
"Theft","2014",242940
"Transport regulatory offences","2014",84369
"Abduction and kidnapping","2015",251
"Against justice procedures","2015",59153
"Arson","2015",5037
"Assault","2015",62438
"Betting and gaming offences","2015",65
"Blackmail and extortion","2015",137
"Disorderly conduct","2015",21706
"Drug offences","2015",46011
"Homicide","2015",114
"Intimidation, stalking and harassment","2015",30351
"Liquor offences","2015",11311
"Malicious damage to property","2015",64040
"Other offences","2015",15785
"Other offences against the person","2015",1314
"Pornography offences","2015",582
"Prohibited and regulated weapons offences","2015",11914
"Prostitution offences","2015",122
"Robbery","2015",2699
"Sexual offences","2015",11853
"Theft","2015",237381
"Transport regulatory offences","2015",119264
"Abduction and kidnapping","2016",238
"Against justice procedures","2016",65819
"Arson","2016",5604
"Assault","2016",63240
"Betting and gaming offences","2016",188
"Blackmail and extortion","2016",110
"Disorderly conduct","2016",21834
"Drug offences","2016",47185
"Homicide","2016",107
"Intimidation, stalking and harassment","2016",30626
"Liquor offences","2016",11000
"Malicious damage to property","2016",62822
"Other offences","2016",15256
"Other offences against the person","2016",1262
"Pornography offences","2016",581
"Prohibited and regulated weapons offences","2016",12775
"Prostitution offences","2016",51
"Robbery","2016",2357
"Sexual offences","2016",12266
"Theft","2016",234427
"Transport regulatory offences","2016",120031
"Abduction and kidnapping","2017",219
"Against justice procedures","2017",64067
"Arson","2017",5896
"Assault","2017",63000
"Betting and gaming offences","2017",77
"Blackmail and extortion","2017",87
"Disorderly conduct","2017",20466
"Drug offences","2017",45636
"Homicide","2017",81
"Intimidation, stalking and harassment","2017",30608
"Liquor offences","2017",11126
"Malicious damage to property","2017",61185
"Other offences","2017",15285
"Other offences against the person","2017",563
"Pornography offences","2017",600
"Prohibited and regulated weapons offences","2017",12591
"Prostitution offences","2017",72
"Robbery","2017",2430
"Sexual offences","2017",13527
"Theft","2017",224508
"Transport regulatory offences","2017",129652
